s001                          ,s009                          ,租住后可以自己装修吗                                                                                                                                                                                                                                                                                        ,2021-03-25
s009                          ,s001                          ,可以                                                                                                                                                                                                                                                                                                        ,2021-03-25
s003                          ,s009                          ,可以在房间里养宠物吗                                                                                                                                                                                                                                                                                        ,2021-03-25
s009                          ,s003                          ,不可以                                                                                                                                                                                                                                                                                                      ,2021-03-25
s003                          ,s009                          ,可以在房间里养宠物吗                                                                                                                                                                                                                                                                                        ,2021-03-26
s009                          ,s003                          ,不可以                                                                                                                                                                                                                                                                                                      ,2021-03-27
s003                          ,s010                          ,房租是每月一交吗                                                                                                                                                                                                                                                                                            ,2021-03-26
s0010                         ,s003                          ,是的                                                                                                                                                                                                                                                                                                        ,2021-03-28
s009                          ,s001                          ,abcdefg                                                                                                                                                                                                                                                                                                     ,2021-06-19
s009                          ,s001                          ,abc                                                                                                                                                                                                                                                                                                         ,2021-06-19
s009                          ,s001                          ,好                                                                                                                                                                                                                                                                                                          ,2021-06-13
